action	current_path	proposed_path	note
CONTAINER	/media/arash/Transcend-Arash/05_Language/FME Method		becomes empty after children move; can be removed manually after apply
RENAME	/media/arash/Transcend-Arash/05_Language/FME Method/German_unzipped	/media/arash/Transcend-Arash/05_Language/de	
RENAME	/media/arash/Transcend-Arash/05_Language/FME Method/German_unzipped/Pimsleur.German I [www.irlanguage.com]	/media/arash/Transcend-Arash/05_Language/de/pimsleur/l1	
QUARANTINE	/media/arash/Transcend-Arash/05_Language/FME Method/German_unzipped/Pimsleur.German I [www.irlanguage.com]/._Audio [www.irlanguage.com]	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/pimsleur_german_i/_macresource_audio	macOS junk
QUARANTINE	/media/arash/Transcend-Arash/05_Language/FME Method/German_unzipped/Pimsleur.German I [www.irlanguage.com]/._PDF & Word [www.irlanguage.com]	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/pimsleur_german_i/_macresource_pdf_word	macOS junk
RENAME	/media/arash/Transcend-Arash/05_Language/FME Method/German_unzipped/Pimsleur.German II [www.irlanguage.com]	/media/arash/Transcend-Arash/05_Language/de/pimsleur/l2	
QUARANTINE	/media/arash/Transcend-Arash/05_Language/FME Method/German_unzipped/Pimsleur.German II [www.irlanguage.com]/._Audio [www.irlanguage.com]	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/pimsleur_german_ii/_macresource_audio	macOS junk
QUARANTINE	/media/arash/Transcend-Arash/05_Language/FME Method/German_unzipped/Pimsleur.German II [www.irlanguage.com]/._PDF & Word [www.irlanguage.com]	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/pimsleur_german_ii/_macresource_pdf_word	macOS junk
RENAME	/media/arash/Transcend-Arash/05_Language/FME Method/German_unzipped/Pimsleur.German III [www.irlanguage.com]	/media/arash/Transcend-Arash/05_Language/de/pimsleur/l3	
QUARANTINE	/media/arash/Transcend-Arash/05_Language/FME Method/German_unzipped/Pimsleur.German III [www.irlanguage.com]/._Audio [www.irlanguage.com]	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/pimsleur_german_iii/_macresource_audio	macOS junk
QUARANTINE	/media/arash/Transcend-Arash/05_Language/FME Method/German_unzipped/Pimsleur.German III [www.irlanguage.com]/._PDF & Word [www.irlanguage.com]	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/pimsleur_german_iii/_macresource_pdf_word	macOS junk
FLAG	/media/arash/Transcend-Arash/05_Language/_junk		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/deutsch		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/deutsch/vorsätze.pages		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/deutsch/vorsätze.pages/data		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/deutsch/vorsätze.pages/data/hardcover_bullet_black_13.png		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/deutsch/vorsätze.pages/index.zip		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/deutsch/vorsätze.pages/metadata		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/deutsch/vorsätze.pages/metadata/buildversionhistory.plist		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/deutsch/vorsätze.pages/metadata/documentidentifier		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/deutsch/vorsätze.pages/metadata/properties.plist		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/deutsch/vorsätze.pages/preview.jpg		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/deutsch/vorsätze.pages/preview_micro.jpg		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/deutsch/vorsätze.pages/preview_web.jpg		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/ds_store		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/arabic		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/arabic/assimil		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/arabic/assimil/assimil_arabic_audio.rar		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/arabic/assimil/assimil_arabic_pdf.rar		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/arabic/pimsleur		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/arabic/pimsleur/pimsleur_arabic_modern_standard_1.rar		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/arabic/pimsleur/pimsleur_arabic_modern_standard_1_www_irlanguage.com]		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/arabic/pimsleur/pimsleur_arabic_modern_standard_1_www_irlanguage.com]/pimsleur_arabic_modern_standard_1_www_irlanguage.com]		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/arabic/pimsleur/pimsleur_arabic_modern_standard_1_www_irlanguage.com]/pimsleur_arabic_modern_standard_1_www_irlanguage.com]/irlanguage_com.jpg		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/arabic/pimsleur/pimsleur_arabic_modern_standard_1_www_irlanguage.com]/pimsleur_arabic_modern_standard_1_www_irlanguage.com]/irlanguage_com.url		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/arabic/pimsleur/pimsleur_arabic_modern_standard_2.rar		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/danish		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/danish/pimsleur		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/danish/pimsleur/pimsleur_danish_1.rar		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/dutch		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/dutch/assimil		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/dutch/assimil/assimil_dutch_audio.rar		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/dutch/assimil/assimil_dutch_audio_www_irlanguage.com]		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/dutch/assimil/assimil_dutch_audio_www_irlanguage.com]/cd1		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/dutch/assimil/assimil_dutch_audio_www_irlanguage.com]/cd1/irlanguage_com.jpg		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/dutch/assimil/assimil_dutch_audio_www_irlanguage.com]/cd1/irlanguage_com.url		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/dutch/assimil/assimil_dutch_audio_www_irlanguage.com]/cd2		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/dutch/assimil/assimil_dutch_audio_www_irlanguage.com]/cd2/irlanguage_com.jpg		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/dutch/assimil/assimil_dutch_audio_www_irlanguage.com]/cd2/irlanguage_com.url		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/dutch/assimil/assimil_dutch_audio_www_irlanguage.com]/cd3		needs human decision
